locationid,Applicant,FacilityType,cnn,LocationDescription,Address,blocklot,block,lot,permit,Status,FoodItems,X,Y,Latitude,Longitude,Schedule,NOISent,Approved,Received,PriorPermit,ExpirationDate,Location,GeoLocation
334914,"Halal Cart, LLC",Push Cart,8748101,MARKET ST: 05TH ST \ CYRIL MAGNIN ST to MASON ST \ TURK ST (901 - 941) -- SOUTH --,901 MARKET ST,3704001,3704,1,11MFF-0175,INACTIVE,Kebab: Halal Gyros: Grilled Halal Meat: Beverages,6010303.105,2113361.952,37.78347007,-122.4080407,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=11MFF-0175&ExportPDF=1&Filename=11MFF-0175_schedule.pdf,NULL,NULL,00:00.0,0,NULL,"(37.7834700660829, -122.408040736138)",0xE6100000010C4A9C43BF48E442408149E4561D9A5EC0
364218,The Chai Cart,Push Cart,9543000,NEW MONTGOMERY ST: AMBROSE BIERCE ST to MISSION ST (77 - 99),79 NEW MONTGOMERY ST,3707014,3707,14,12MFF-0083,SUSPEND,Hot Indian Chai (Tea),6012504.312,2114926.774,37.7878897,-122.4005353,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=12MFF-0083&ExportPDF=1&Filename=12MFF-0083_schedule.pdf,NULL,NULL,00:00.0,0,NULL,"(37.7878896999061, -122.400535326777)",0xE6100000010CDAF9D691D9E442409859EC5EA2995EC0
453012,Tacos Santana,NULL,3742000,CARROLL AVE: QUINT ST to BAY SHORE BLVD \ THORNTON AVE (2100 - 2199),2101 CARROLL AVE,5436012,5436,12,13MFF-0112,EXPIRED,NULL,6011371.493,2093947.369,37.73022168,-122.4029785,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0112&ExportPDF=1&Filename=13MFF-0112_schedule.pdf,7/25/2013 0:00,00:00.0,00:00.0,0,00:00.0,"(37.7302216813049, -122.402978526686)",0xE6100000010C700470E777DD4240D3467266CA995EC0
453013,Tacos Santana,NULL,7498000,JERROLD AVE: PHELPS ST to QUINT ST (1700 - 1799),1700 JERROLD AVE,5262009,5262,9,13MFF-0112,EXPIRED,NULL,6014746.675,2098348.869,37.7424952,-122.3916176,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0112&ExportPDF=1&Filename=13MFF-0112_schedule.pdf,7/25/2013 0:00,00:00.0,00:00.0,0,00:00.0,"(37.7424951959228, -122.391617595098)",0xE6100000010C78F623150ADF4240FBDE3E4310995EC0
453014,Tacos Santana,NULL,7501000,JERROLD AVE: TOLAND ST to UPTON ST (2100 - 2230),2142 JERROLD AVE,5230011,5230,11,13MFF-0112,EXPIRED,NULL,6012644.555,2099128.352,37.74451858,-122.3989408,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0112&ExportPDF=1&Filename=13MFF-0112_schedule.pdf,7/25/2013 0:00,00:00.0,00:00.0,0,00:00.0,"(37.7445185826649, -122.398940846628)",0xE6100000010CAFE789624CDF42409253303F88995EC0
627558,"Off the Grid Services, LLC",Truck,4609000,DAVIS ST: DAVIS CT \ JACKSON ST to BROADWAY (500 - 699),Assessors Block /Lot,NULL,NULL,NULL,15MFF-0039,REQUESTED,varies truck to truck,NULL,NULL,0,0,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=15MFF-0039&ExportPDF=1&Filename=15MFF-0039_schedule.pdf,NULL,NULL,00:00.0,0,NULL,"(0.0, 0.0)",0xE6100000010C00000000000000000000000000000000
735315,Ziaurehman Amini,Push Cart,4969000,DRUMM ST: MARKET ST to CALIFORNIA ST (1 - 6),1 CALIFORNIA ST,264004,264,4,15MFF-0159,REQUESTED,NULL,6013552.57,2116844.5,37.79321373,-122.397043,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=15MFF-0159&ExportPDF=1&Filename=15MFF-0159_schedule.pdf,NULL,NULL,00:00.0,0,00:00.0,"(37.7932137316634, -122.397043036718)",0xE6100000010CC01D0E0788E54240BC73322769995EC0
735318,Ziaurehman Amini,Push Cart,30727000,MARKET ST: DRUMM ST intersection,5 THE EMBARCADERO,234017,234,17,15MFF-0159,REQUESTED,NULL,6013916.72,2117244.027,37.794331,-122.3958111,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=15MFF-0159&ExportPDF=1&Filename=15MFF-0159_schedule.pdf,NULL,NULL,00:00.0,0,00:00.0,"(37.7943310032468, -122.395811053023)",0xE6100000010C6B9268A3ACE542404308E2F754995EC0
751253,Pipo's Grill,Truck,5688000,FOLSOM ST: 14TH ST to 15TH ST (1800 - 1899),1800 FOLSOM ST,3549083,3549,83,16MFF-0010,REQUESTED,Tacos: Burritos: Hot Dogs: and Hamburgers,6007856.719,2107724.046,37.76785244,-122.4161049,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0010&ExportPDF=1&Filename=16MFF-0010_schedule.pdf,NULL,NULL,00:00.0,0,NULL,"(37.7678524427181, -122.416104892532)",0xE6100000010C61D024FD48E242405B486A76A19A5EC0
755221,Fruteria Serrano,NULL,9167000,MISSION ST: OCEAN AVE to PERSIA AVE (4650 - 4699),4650 MISSION ST,6955044,6955,44,16MFF-0011,REQUESTED,Fruits including mangoes: pineapples: coconuts: watermelon: corn: cucumber: potatoes chips: water: Mexican drinks: sodas: juices: snow cones,6001790.666,2091754.638,37.72366128,-122.4359438,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0011&ExportPDF=1&Filename=16MFF-0011_schedule.pdf,NULL,NULL,00:00.0,0,00:00.0,"(37.7236612795053, -122.43594382524)",0xE6100000010CAB6DCCEEA0DC42402213EE80E69B5EC0
